epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1609.29,1.52139,0.89242,1.39784,0.80483,0.78474,0.81443,0.35264,1.91139,1.03136,1.70028,0.000571059,0.000571059,0.000571059
67,1633.14,1.52453,0.87459,1.3864,0.79665,0.76626,0.80121,0.36566,1.91881,0.99854,1.69531,0.000568014,0.000568014,0.000568014
68,1657.62,1.547,0.8895,1.39744,0.76896,0.75044,0.79383,0.33941,1.94947,1.03826,1.72795,0.000564969,0.000564969,0.000564969
69,1681.46,1.52287,0.88566,1.3876,0.82853,0.79595,0.81074,0.36105,1.92071,1.02467,1.71576,0.000561924,0.000561924,0.000561924
70,1704.69,1.5198,0.86164,1.37895,0.82207,0.74864,0.8105,0.34727,1.93313,1.05452,1.71892,0.000558878,0.000558878,0.000558878
71,1728.62,1.53022,0.87501,1.38705,0.81311,0.7728,0.80317,0.33248,1.94456,1.03679,1.73293,0.000555833,0.000555833,0.000555833
72,1752.28,1.50788,0.85426,1.37798,0.84286,0.7687,0.82139,0.35278,1.91655,1.01667,1.7061,0.000552788,0.000552788,0.000552788
73,1776.84,1.49924,0.86661,1.38137,0.80855,0.75164,0.78555,0.34326,1.96504,1.01734,1.72368,0.000549743,0.000549743,0.000549743
74,1800.55,1.50438,0.85226,1.37073,0.76789,0.77997,0.79346,0.36405,1.94956,1.03143,1.73516,0.000546697,0.000546697,0.000546697
75,1823.42,1.50055,0.85921,1.37945,0.8169,0.75149,0.79332,0.34501,1.99838,1.04062,1.75888,0.000543652,0.000543652,0.000543652
76,1847.4,1.50324,0.8445,1.38095,0.8148,0.76846,0.80684,0.34915,1.93978,0.98584,1.71053,0.000540607,0.000540607,0.000540607
77,1871.23,1.50143,0.85642,1.37119,0.82396,0.73672,0.77845,0.33691,1.92878,1.03608,1.71443,0.000537562,0.000537562,0.000537562
78,1895.03,1.5083,0.85574,1.37647,0.81853,0.75315,0.78257,0.33286,1.96819,1.05063,1.74503,0.000534517,0.000534517,0.000534517
79,1918.05,1.47823,0.84415,1.36364,0.78546,0.79972,0.80341,0.34249,1.95513,1.00586,1.74073,0.000531471,0.000531471,0.000531471
80,1941.97,1.50485,0.85431,1.37564,0.71645,0.82538,0.8069,0.33742,1.95423,1.01156,1.72576,0.000528426,0.000528426,0.000528426
81,1965.55,1.4951,0.83926,1.35888,0.79943,0.7683,0.79102,0.33864,1.94789,1.02126,1.73282,0.000525381,0.000525381,0.000525381
82,1989.48,1.49039,0.85273,1.37942,0.7988,0.75692,0.7872,0.3392,1.95239,1.02004,1.72987,0.000522336,0.000522336,0.000522336
