epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1757.35,1.51292,0.84479,1.39903,0.80361,0.67835,0.73568,0.30919,1.98344,1.03263,1.77949,0.000601512,0.000601512,0.000601512
57,1787.49,1.48579,0.83825,1.39966,0.79562,0.65946,0.7348,0.31678,1.99364,1.03623,1.82519,0.000598467,0.000598467,0.000598467
58,1818.24,1.49508,0.82061,1.40627,0.76628,0.69886,0.72606,0.31338,2.01088,1.00173,1.80386,0.000595421,0.000595421,0.000595421
59,1848.63,1.4995,0.82181,1.40133,0.72568,0.7065,0.71758,0.31908,1.96048,1.0282,1.80541,0.000592376,0.000592376,0.000592376
60,1878.74,1.48122,0.81666,1.38984,0.7383,0.70952,0.71136,0.30923,1.9689,0.9895,1.8003,0.000589331,0.000589331,0.000589331
61,1909.11,1.50667,0.81579,1.40533,0.72662,0.73817,0.73915,0.32125,1.99237,1.05974,1.78474,0.000586286,0.000586286,0.000586286
62,1940.08,1.47569,0.79095,1.38537,0.74276,0.74784,0.75143,0.31594,1.99952,1.00665,1.82321,0.00058324,0.00058324,0.00058324
63,1970.47,1.47877,0.80195,1.38508,0.79455,0.75395,0.75177,0.32347,1.99378,1.03181,1.81476,0.000580195,0.000580195,0.000580195
64,2000.87,1.47815,0.8109,1.38682,0.74204,0.75826,0.74611,0.31797,1.99281,1.04126,1.82906,0.00057715,0.00057715,0.00057715
65,2032.07,1.47769,0.82113,1.38177,0.80317,0.76244,0.77637,0.31539,1.99096,1.00965,1.81995,0.000574105,0.000574105,0.000574105
66,2062.36,1.47934,0.79401,1.37942,0.79015,0.73413,0.74901,0.31569,1.99372,1.04368,1.81192,0.000571059,0.000571059,0.000571059
67,2092.71,1.47807,0.7977,1.38301,0.76972,0.76271,0.77121,0.33164,1.98671,0.99078,1.82343,0.000568014,0.000568014,0.000568014
68,2123.87,1.48364,0.79985,1.38491,0.76145,0.74127,0.74278,0.32306,1.9911,1.0429,1.79426,0.000564969,0.000564969,0.000564969
69,2154.6,1.4684,0.79684,1.37808,0.71843,0.77331,0.74864,0.31845,1.9845,1.03103,1.82616,0.000561924,0.000561924,0.000561924
70,2185.1,1.45507,0.78618,1.3652,0.69152,0.74245,0.70645,0.31098,1.99909,1.04018,1.8435,0.000558878,0.000558878,0.000558878
71,2215.8,1.46531,0.79216,1.37812,0.78644,0.71996,0.75351,0.3299,1.99626,1.04631,1.84334,0.000555833,0.000555833,0.000555833
72,2246.56,1.47381,0.79231,1.37103,0.77614,0.6943,0.74851,0.32756,2.01509,1.03272,1.8289,0.000552788,0.000552788,0.000552788
73,2277.06,1.44814,0.77855,1.37089,0.76736,0.75114,0.76652,0.33062,2.0051,1.04019,1.81577,0.000549743,0.000549743,0.000549743
74,2307.56,1.43688,0.76108,1.34935,0.7261,0.75852,0.74722,0.3084,2.01442,1.05871,1.83885,0.000546697,0.000546697,0.000546697
75,2338.46,1.43123,0.76697,1.36323,0.74655,0.76587,0.76768,0.33059,1.99876,1.03135,1.85319,0.000543652,0.000543652,0.000543652
76,2368.88,1.44431,0.76715,1.37173,0.78387,0.71383,0.73398,0.30703,2.03333,1.03244,1.83774,0.000540607,0.000540607,0.000540607
77,2399.07,1.44045,0.76616,1.35294,0.772,0.72821,0.73429,0.31032,2.03472,0.98391,1.86345,0.000537562,0.000537562,0.000537562
78,2430.16,1.43933,0.76425,1.36162,0.76562,0.75469,0.75782,0.31795,2.03085,1.00964,1.8333,0.000534517,0.000534517,0.000534517
79,2460.55,1.4205,0.75659,1.34683,0.69959,0.77126,0.73401,0.31287,2.02957,1.03301,1.8579,0.000531471,0.000531471,0.000531471
80,2490.97,1.44446,0.76558,1.35114,0.74813,0.76824,0.75105,0.31787,1.99801,1.02269,1.81449,0.000528426,0.000528426,0.000528426
81,2521.28,1.43061,0.7606,1.34005,0.72598,0.73736,0.73616,0.31162,2.02097,0.99137,1.83175,0.000525381,0.000525381,0.000525381
82,2552.2,1.42887,0.76417,1.34872,0.7725,0.73473,0.7516,0.30758,2.0062,1.03603,1.81586,0.000522336,0.000522336,0.000522336
83,2582.67,1.43126,0.76009,1.35252,0.735,0.72412,0.71724,0.30106,2.0453,1.06371,1.87231,0.00051929,0.00051929,0.00051929
84,2613.09,1.43487,0.75464,1.33996,0.75448,0.73356,0.75037,0.30356,2.04726,1.04609,1.85789,0.000516245,0.000516245,0.000516245
85,2644.1,1.41272,0.74759,1.34,0.76868,0.7473,0.74932,0.31235,2.01888,1.04329,1.85125,0.0005132,0.0005132,0.0005132
86,2674.23,1.41132,0.74708,1.33704,0.72438,0.73464,0.72171,0.30612,2.04466,1.01655,1.88277,0.000510155,0.000510155,0.000510155
87,2704.61,1.40453,0.73885,1.33821,0.78909,0.71696,0.73391,0.29783,2.02081,1.04819,1.90958,0.000507109,0.000507109,0.000507109
88,2735.42,1.40256,0.74289,1.33402,0.75338,0.70949,0.73044,0.30639,2.01462,1.07862,1.87394,0.000504064,0.000504064,0.000504064
89,2766.3,1.39626,0.7335,1.34067,0.75438,0.74316,0.73048,0.29923,2.01477,1.06556,1.84934,0.000501019,0.000501019,0.000501019
90,2796.95,1.3871,0.73471,1.33334,0.73831,0.75923,0.73041,0.29712,2.03077,1.08421,1.87142,0.000497974,0.000497974,0.000497974
91,2827.33,1.40489,0.7363,1.33427,0.73574,0.71939,0.71742,0.29739,2.03433,1.08376,1.86773,0.000494928,0.000494928,0.000494928
92,2858.39,1.38301,0.72929,1.33001,0.70424,0.74094,0.70941,0.29858,2.00141,1.06251,1.86697,0.000491883,0.000491883,0.000491883
93,2888.68,1.41272,0.73719,1.33698,0.78028,0.70556,0.73095,0.31022,2.0281,1.04005,1.87453,0.000488838,0.000488838,0.000488838
94,2918.83,1.41136,0.74162,1.32931,0.72254,0.75679,0.72488,0.30233,2.0296,1.0701,1.89237,0.000485793,0.000485793,0.000485793
95,2949.83,1.39002,0.74183,1.33856,0.78741,0.71096,0.72623,0.3073,2.02988,1.04148,1.90397,0.000482747,0.000482747,0.000482747
96,2980.5,1.40161,0.74253,1.33706,0.75586,0.7394,0.71715,0.30164,2.05029,1.02867,1.89319,0.000479702,0.000479702,0.000479702
97,3010.87,1.39342,0.74361,1.34586,0.7911,0.72059,0.73745,0.31715,1.9928,1.02997,1.83714,0.000476657,0.000476657,0.000476657
98,3041.26,1.37189,0.73008,1.32639,0.77057,0.71317,0.7303,0.30663,2.01474,1.03306,1.89047,0.000473612,0.000473612,0.000473612
99,3072.3,1.38924,0.72578,1.32674,0.7689,0.72554,0.71529,0.28389,2.04635,1.04558,1.90799,0.000470566,0.000470566,0.000470566
100,3102.59,1.37226,0.72799,1.32253,0.74912,0.7431,0.72765,0.29676,2.0397,1.05148,1.88769,0.000467521,0.000467521,0.000467521
101,3133.02,1.37773,0.72848,1.32149,0.74978,0.72929,0.71293,0.28883,2.00113,1.10304,1.89236,0.000464476,0.000464476,0.000464476
102,3164.15,1.3791,0.72588,1.34298,0.78629,0.69796,0.73613,0.30681,2.02526,1.03349,1.87895,0.000461431,0.000461431,0.000461431
103,3194.6,1.39444,0.74103,1.34459,0.7417,0.71997,0.71416,0.29794,1.97793,1.03727,1.85936,0.000458386,0.000458386,0.000458386
104,3224.78,1.36916,0.72187,1.31643,0.71979,0.73936,0.72324,0.29691,2.03884,1.08171,1.89927,0.00045534,0.00045534,0.00045534
105,3255.04,1.37339,0.73092,1.33639,0.74701,0.75797,0.74526,0.3061,2.03428,1.02451,1.89938,0.000452295,0.000452295,0.000452295
106,3285.87,1.35878,0.71294,1.33331,0.75487,0.73694,0.72284,0.29155,2.0128,1.03668,1.89704,0.00044925,0.00044925,0.00044925
107,3316.11,1.34967,0.71544,1.32317,0.7322,0.72586,0.70524,0.28438,2.0413,1.07,1.92038,0.000446205,0.000446205,0.000446205
108,3346.76,1.37056,0.72638,1.32322,0.7385,0.74865,0.72971,0.30642,2.01802,1.06628,1.90317,0.000443159,0.000443159,0.000443159
109,3377.93,1.35677,0.71638,1.31206,0.78066,0.72124,0.72075,0.29162,2.04316,1.08315,1.90996,0.000440114,0.000440114,0.000440114
